"KEY";"Pais";"Basecode";"Periodo";"Valor";"Type_period";"Lifecycle";"encoding";"Diferenca"
"AAAA0007";"AA";"AA0007";201707;10,40128;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201708;14,99136;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201709;18,35744;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201710;19,35872;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201711;17,58208;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201712;21,24032;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201801;24,39168;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201802;12,0064;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201803;24,48128;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201804;13,36064;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201805;17,78176;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201806;4,17792;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201807;10,10496;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201808;17,08832;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201809;15,176;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201810;15,99808;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201811;14,7504;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201812;14,05824;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201901;15,39776;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201902;18,70176;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201903;10,26368;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201904;10,68032;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201905;8,01696;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201906;11,0992;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201907;5,9584;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201908;9,5312;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201909;10,66688;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201910;14,36736;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201911;9,2064;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";201912;7,18592;"history";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";202001;13,04731;"forecast";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";202002;8,32612;"forecast";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";202003;8,1306;"forecast";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";202004;6,28728;"forecast";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";202005;5,97609;"forecast";"PHASE OUT";1;0
"AAAA0007";"AA";"AA0007";202006;3,849895;"forecast";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201707;6,05376;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201708;8,67744;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201709;11,25216;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201710;13,02318;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201711;12,31776;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201712;9,1296;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201801;14,40576;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201802;7,97184;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201803;5,10912;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201804;3,84192;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201805;1,15776;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201806;11,74176;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201807;9,47808;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201808;10,5808;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201809;12,75296;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201810;10,09152;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201811;8,47616;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201812;9,3952;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201901;11,42272;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201902;13,17888;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201903;6,31808;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201904;6,5024;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201905;5,1584;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201906;6,592;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201907;3,19488;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201908;6,5152;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201909;7,65184;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201910;10,51904;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201911;10,95936;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";201912;11,18208;"history";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";202001;10,50014;"forecast";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";202002;10,37935;"forecast";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";202003;5,75944;"forecast";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";202004;6,04454;"forecast";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";202005;4,624039;"forecast";"PHASE OUT";1;0
"AAAA0008";"AA";"AA0008";202006;5,56015;"forecast";"PHASE OUT";1;0
"AAAA0009";"AA";"AA0009";201707;8,96784;"history";"PHASE OUT";1;0
"AAAA0009";"AA";"AA0009";201708;16,88848;"history";"PHASE OUT";1;0
"AAAA0009";"AA";"AA0009";201709;20,28304;"history";"PHASE OUT";1;0
