"Country";"Basecode";"x1_missingdata_h";"x2_missingdata_f";"x3_n_positive_h";"x4_n_negative_h";"x5_n_positive_f";"x6_n_negative_f";"x7_consecutive_zeros_h";"x8_consecutive_zeros_f";"x9_beginning_zero_h";"x10_end_zero_h";"x11_beginning_zero_f";"x12_end_zero_f";"Y_LifeCicle"
"AA";"AA0007";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0008";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0009";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0012";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0014";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0015";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0016";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0017";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0019";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0020";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0022";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0030";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0033";100;100;0;1;0;0;96,6666666666667;100;0;1;1;1;"DELISTED"
"AA";"AA0035";0;0;1;0;0;0;96,6666666666667;100;0;1;1;1;"PHASE OUT"
"AA";"AA0037";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0038";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0039";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0040";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0041";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0056";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0058";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0066";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0070";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0071";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0072";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0074";3,33333333333333;83,3333333333333;1;1;0;1;93,3333333333333;83,3333333333333;1;1;1;1;"PHASE OUT"
"AA";"AA0076";0;0;1;0;0;0;96,6666666666667;100;0;1;1;1;"PHASE OUT"
"AA";"AA0077";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0079";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0080";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0085";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0086";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0087";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0094";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0095";100;100;0;1;0;0;96,6666666666667;100;0;1;1;1;"DELISTED"
"AA";"AA0100";10;100;3;2;0;1;83,3333333333333;83,3333333333333;0;1;0;1;"REGULAR"
"AA";"AA0101";0;0;1;0;0;0;96,6666666666667;100;0;1;1;1;"PHASE OUT"
"AA";"AA0102";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0105";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0106";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0107";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0108";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0109";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0116";100;100;0;1;0;0;96,6666666666667;100;0;1;1;1;"DELISTED"
"AA";"AA0118";0;0;1;0;0;0;96,6666666666667;100;0;1;1;1;"PHASE OUT"
"AA";"AA0119";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0120";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0123";100;100;0;1;0;0;96,6666666666667;100;0;1;1;1;"DELISTED"
"AA";"AA0124";80;100;1;1;0;0;93,3333333333333;100;0;1;1;1;"DELISTED"
"AA";"AA0125";0;0;1;0;0;0;96,6666666666667;100;0;1;1;1;"PHASE OUT"
"AA";"AA0126";50;0;1;1;0;0;93,3333333333333;100;1;1;1;1;"NPD"
"AA";"AA0128";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0129";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0130";6,66666666666667;0;1;1;0;0;93,3333333333333;100;1;1;1;1;"PHASE OUT"
"AA";"AA0132";100;100;0;1;0;0;96,6666666666667;100;0;1;1;1;"DELISTED"
"AA";"AA0135";0;0;1;0;0;0;96,6666666666667;100;0;1;1;1;"PHASE OUT"
"AA";"AA0136";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0138";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0139";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0143";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0146";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0148";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0149";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0150";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0151";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0152";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0153";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0158";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0159";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0160";3,33333333333333;0;1;1;0;0;93,3333333333333;100;0;1;1;1;"REGULAR"
"AA";"AA0161";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0162";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0191";100;100;0;1;0;0;96,6666666666667;100;0;1;1;1;"DELISTED"
"AA";"AA0192";23,3333333333333;100;1;1;0;0;93,3333333333333;100;0;1;1;1;"DELISTED"
"AA";"AA0202";30;100;2;2;0;0;86,6666666666667;100;0;1;1;1;"DELISTED"
"AA";"AA0206";0;0;1;0;0;0;96,6666666666667;100;0;1;1;1;"REGULAR"
"AA";"AA0208";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0214";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0221";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0223";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0224";0;0;0;0;0;0;100;100;1;1;1;1;"PHASE OUT"
"AA";"AA0229";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
"AA";"AA0230";0;0;0;0;0;0;100;100;1;1;1;1;"REGULAR"
